Trial,Block,Subj,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,TotalLookingTime,FeatureEntropy,Animals,Landscapes,Objects,DimensionEntropy
1,1,37,0.0,0.11042944785276083,0.006134969325153375,0.0,0.174846625766871,0.4601226993865032,0.0,0.1196319018404909,0.0,0.12883435582822056,1.3039999999999998,0.5418963479932793,0.11656441717791421,0.6349693251533741,0.1196319018404909,0.7217663427776457
1,1,38,0.1968992248062015,0.0,0.0,0.0,0.035658914728682364,0.5286821705426358,0.0,0.0,0.12558139534883708,0.1131782945736432,2.58,0.4716737940079671,0.1968992248062015,0.5643410852713181,0.12558139534883708,0.8222988725338006
1,1,39,0.0,0.18291054739652876,0.0,0.0,0.07476635514018681,0.0,0.0,0.0,0.7316421895861149,0.010680907877169559,2.996,0.3337075837679532,0.18291054739652876,0.07476635514018681,0.7316421895861149,0.6674151675359064
1,1,40,0.0,0.9685534591194969,0.0,0.0,0.01257861635220126,0.0,0.0,0.0,0.0,0.01886792452830189,0.6359999999999999,0.039134734896898185,0.9685534591194969,0.01257861635220126,0.0,0.07826946979379637
1,1,41,0.06320907617504055,0.0,0.0,0.0,0.49270664505672607,0.286871961102107,0.0,0.15072933549432732,0.0,0.006482982171799026,2.4680000000000004,0.5310066638508307,0.06320907617504055,0.779578606158833,0.15072933549432732,0.5951841830222905
1,1,42,0.0,0.09523809523809516,0.0,0.0,0.4687500000000001,0.2559523809523812,0.11904761904761899,0.0,0.0,0.061011904761904545,2.6879999999999997,0.537618802598875,0.09523809523809516,0.7247023809523814,0.11904761904761899,0.6468627753462198
1,1,43,0.0,0.0,0.5055096418732782,0.0,0.39807162534435275,0.0,0.0,0.09641873278236907,0.0,0.0,2.9040000000000004,0.4264718602031934,0.5055096418732782,0.39807162534435275,0.09641873278236907,0.8529437204063868
1,1,44,0.0,0.0,0.0,0.0,0.48239436619718307,0.0,0.24119718309859145,0.0,0.0,0.2764084507042256,2.2720000000000002,0.31616183201597353,0.0,0.48239436619718307,0.24119718309859145,0.6323236640319471
1,1,45,0.0,0.15981735159817356,0.0,0.0,0.21461187214611874,0.016742770167427694,0.0,0.10197869101978711,0.3866057838660577,0.12024353120243517,2.628000000000001,0.5880299355329787,0.15981735159817356,0.23135464231354644,0.48858447488584483,0.8935488560354701
1,1,46,0.0,0.021739130434782605,0.0,0.2360248447204967,0.0,0.0,0.5869565217391305,0.1490683229813665,0.0,0.006211180124223601,1.2880000000000003,0.46443621610506763,0.021739130434782605,0.2360248447204967,0.736024844720497,0.5912855676618922
1,1,47,0.11217183770883035,0.0,0.0,0.0,0.26968973747016695,0.007159904534606205,0.15513126491646786,0.31980906921241076,0.0,0.1360381861575177,1.6760000000000002,0.5861332015002563,0.11217183770883035,0.27684964200477313,0.4749403341288786,0.8688944087818835
1,1,49,0.0,0.2978723404255319,0.02364066193853428,0.0,0.24113475177304958,0.4326241134751774,0.0,0.0,0.0,0.004728132387706856,1.6920000000000002,0.5255535408282486,0.32151300236406616,0.6737588652482269,0.0,0.5742538031625987
1,1,53,0.2627291242362525,0.0,0.0,0.0,0.22810590631364552,0.0,0.0,0.0,0.4908350305498983,0.018329938900203662,1.9640000000000004,0.47223279194995704,0.2627291242362525,0.22810590631364552,0.4908350305498983,0.9444655838999141
1,1,54,0.08386075949367092,0.0,0.0,0.0,0.34335443037974694,0.12816455696202525,0.004746835443037975,0.08227848101265826,0.0031645569620253164,0.3544303797468352,2.528,0.4948608376579385,0.08386075949367092,0.4715189873417722,0.09018987341772156,0.7093725023602292
1,1,55,0.012539184952978054,0.0,0.0,0.03761755485893436,0.20376175548589318,0.0,0.7272727272727273,0.0015673981191222568,0.0,0.017241379310344824,2.5520000000000005,0.3386884375020757,0.012539184952978054,0.24137931034482754,0.7288401253918495,0.5721159952608779
