,Trial,Block,Subj,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,TotalLookingTime
54,2.0,1,47,0.0,0.0,0.1439999999999999,0.2319999999999999,0.2159999999999999,0.0,1.7240000000000002,0.528,0.256,0.6959999999999996,3.7959999999999994
55,2.0,1,49,1.7960000000000003,0.0,0.4039999999999999,0.0,0.152,1.2559999999999998,0.0,0.0959999999999995,0.0,0.088,3.7919999999999994
56,2.0,1,53,0.4200000000000001,0.0,0.0,0.7239999999999998,0.0,0.0,2.308,0.0,0.0,0.3839999999999998,3.836
57,2.0,1,54,0.0,0.0,0.0,0.43200000000000005,1.9439999999999997,0.0,0.2239999999999999,0.1480000000000001,0.0,1.0000000000000002,3.748
58,2.0,1,55,0.02,0.0,1.38,0.3040000000000002,0.0,1.04,0.012,0.0,0.5800000000000001,0.44799999999999973,3.784
59,2.0,1,57,0.0,0.5879999999999999,0.152,1.2240000000000002,0.2319999999999999,0.0,0.9799999999999998,0.0,0.6199999999999999,0.016,3.8119999999999994
60,2.0,1,60,0.004,0.096,0.0,0.0,0.464,0.016,0.02,0.0,0.0,2.8560000000000003,3.4560000000000004
61,2.0,1,61,1.0439999999999998,0.0,0.0,1.1959999999999997,0.0,0.0,0.6679999999999999,0.0,0.0,0.8,3.7079999999999993
62,2.0,1,62,0.0,0.5520000000000003,0.0,0.0,0.0,3.1079999999999997,0.0,0.0,0.2800000000000002,0.032,3.9720000000000004
63,2.0,1,63,0.0,0.2319999999999997,0.5359999999999998,0.6560000000000001,0.0,0.256,0.6120000000000001,0.0,1.6079999999999999,0.008,3.9079999999999995
64,2.0,1,68,0.0,0.0,0.0,1.6910000000000003,1.9609999999999999,0.0,0.0,0.0,0.0,0.341,3.9930000000000003
65,2.0,1,69,0.6199999999999999,0.172,0.0,0.8959999999999996,0.0,0.0,0.208,1.7280000000000004,0.0,0.32,3.9439999999999995
66,2.0,1,70,0.6879999999999997,0.0,0.0,0.0,0.0,0.5080000000000002,0.248,0.0,2.2319999999999993,0.14800000000000002,3.8239999999999994
67,2.0,1,71,0.04,0.212,0.0,0.0,0.0,0.0799999999999999,0.252,2.5839999999999996,0.0,0.08399999999999991,3.2519999999999993
68,3.0,1,23,0.0,0.1959999999999999,0.3520000000000001,0.7320000000000002,0.012,0.0,1.5399999999999998,0.0,0.9200000000000002,0.044,3.796
69,3.0,1,26,0.0,0.2999999999999998,0.0,1.08,0.0,0.0,0.0,0.228,1.644,0.2759999999999998,3.5279999999999996
70,3.0,1,27,0.0,0.008,0.4999999999999999,0.092,0.0,0.016,0.1879999999999995,0.4439999999999998,2.052,0.5000000000000006,3.7999999999999994
