Trial,Block,Subj,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,TotalLookingTime
1,1,71,0.0,0.0,0.1640000000000001,0.008,0.0,0.1720000000000001,0.32799999999999985,0.0,0.7600000000000002,0.012,1.4440000000000004
2,1,23,0.0,0.012,0.0,0.008,1.1119999999999997,0.0,0.028,0.3760000000000003,0.0,0.048,1.584
2,1,26,0.0,0.0,0.0159999999999995,0.0,0.0,0.7359999999999998,0.0,0.0,0.2,0.1760000000000001,1.1279999999999994
2,1,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,28,0.0,0.056,0.004,0.0,0.0,0.024,0.0,1.008,0.5519999999999999,0.024,1.6680000000000001
2,1,29,0.0,0.0,0.2359999999999996,0.0,0.43999999999999984,0.0,0.0,0.0,0.39600000000000024,0.048,1.1199999999999997
2,1,30,0.0,0.1439999999999996,0.1720000000000001,0.0,0.5559999999999999,0.0,0.0,0.0,0.07199999999999951,0.016,0.9599999999999992
2,1,31,0.18000000000000008,0.0,0.0,0.072,0.1399999999999996,0.0,0.2679999999999998,0.0,0.0,0.6600000000000004,1.3199999999999998
2,1,34,0.0,0.068,0.0,0.0,0.0399999999999995,0.0,0.6520000000000001,0.0,0.0,0.2879999999999997,1.0479999999999992
2,1,35,0.008,0.0,0.1400000000000001,0.7199999999999998,0.0,0.40000000000000036,0.1400000000000001,0.16000000000000011,0.0239999999999995,0.02,1.612
2,1,36,0.0,0.016,0.0,0.3119999999999998,0.9440000000000004,0.0,0.0,0.0,0.0,0.1,1.3720000000000003
2,1,37,0.0,0.0,0.4959999999999999,0.0,0.048,0.8479999999999994,0.0,0.0,0.0,0.048,1.4399999999999995
2,1,38,0.0,0.0,0.2000000000000001,0.012,0.024,0.0,0.3559999999999998,0.0,0.0,0.6000000000000001,1.1920000000000002
2,1,39,0.0,0.0,0.0,0.2639999999999998,0.0,0.1919999999999997,0.5800000000000001,0.0,0.3240000000000003,0.012,1.3719999999999999
2,1,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,41,0.0,0.024,0.0,0.0,0.052,0.0,0.0,0.484,0.7119999999999997,0.2759999999999998,1.5479999999999996
2,1,42,0.0,0.0,0.0,0.5280000000000005,0.4639999999999999,0.0,0.0,0.3599999999999998,0.0,0.1520000000000001,1.5040000000000004
2,1,43,0.0,0.0,0.0,0.1440000000000001,0.3200000000000003,0.2559999999999998,0.0,0.0,0.0,0.3639999999999999,1.084
2,1,44,0.0,0.0,0.0,0.9880000000000004,0.008,0.2679999999999998,0.4039999999999999,0.2439999999999997,0.0,0.024,1.936
2,1,45,0.1480000000000001,0.1719999999999997,0.2040000000000001,0.036,0.2400000000000001,0.0,0.0,0.21199999999999958,0.1680000000000001,0.12,1.2999999999999998
2,1,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3880000000000001,0.004,1.3920000000000001
2,1,47,0.0,0.0,0.0,0.0,0.0,0.0,1.104,0.0,0.0,0.6839999999999997,1.7879999999999998
2,1,49,1.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0959999999999995,0.0,0.07999999999999999,1.2799999999999996
2,1,53,0.016,0.0,0.0,0.3159999999999998,0.0,0.0,0.6960000000000001,0.0,0.0,0.3839999999999998,1.4119999999999995
2,1,54,0.0,0.0,0.0,0.0,1.1279999999999997,0.0,0.0,0.0,0.0,0.3400000000000002,1.468
2,1,55,0.02,0.0,0.52,0.3040000000000002,0.0,0.6360000000000001,0.012,0.0,0.0,0.2279999999999997,1.7200000000000002
2,1,57,0.0,0.136,0.0,0.528,0.0,0.0,0.7599999999999998,0.0,0.016,0.004,1.444
2,1,60,0.004,0.084,0.0,0.0,0.0,0.016,0.004,0.0,0.0,1.092,1.2000000000000002
2,1,61,0.8479999999999999,0.0,0.0,0.024,0.0,0.0,0.22000000000000008,0.0,0.0,0.3240000000000001,1.4160000000000001
2,1,62,0.0,0.2840000000000002,0.0,0.0,0.0,1.2719999999999994,0.0,0.0,0.2800000000000002,0.032,1.8679999999999999
2,1,63,0.0,0.2319999999999997,0.2559999999999998,0.2200000000000002,0.0,0.0,0.2120000000000002,0.0,0.9839999999999999,0.008,1.912
2,1,67,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.032,0.0,0.4480000000000004,0.12799999999999961,1.508
2,1,68,0.0,0.0,0.0,1.0850000000000004,0.7130000000000001,0.0,0.0,0.0,0.0,0.057000000000000196,1.8550000000000006
2,1,69,0.0,0.0,0.0,0.2479999999999997,0.0,0.0,0.0,1.36,0.0,0.1,1.708
2,1,70,0.26399999999999973,0.0,0.0,0.0,0.0,0.2360000000000002,0.0,0.0,1.1279999999999997,0.132,1.7599999999999998
2,1,71,0.036000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.9079999999999999,0.0,0.052000000000000005,0.996
