Trial,Block,Subj,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,TotalLookingTime
2,1,36,0.0,0.48799999999999993,0.244,0.164,0.40800000000000003,0.2959999999999999,0.0,0.0,0.0,0.052000000000000005,1.652
2,1,37,0.012,0.0999999999999999,2.112,0.0,0.0,0.0,0.0,0.0,0.0,0.024,2.248
2,1,38,0.0,0.0,0.1919999999999999,0.0,0.0,0.324,0.264,0.0,0.156,0.31599999999999984,1.2519999999999998
2,1,39,0.0,0.0,0.0,0.6799999999999998,0.0,0.0,0.264,0.144,0.328,0.004,1.42
2,1,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,41,0.0,0.0,0.0,0.1079999999999999,0.632,0.0,0.0,0.0,0.216,0.128,1.0839999999999999
2,1,42,0.0,0.0,0.0,0.488,0.148,0.0,0.0,0.0,0.0,0.004,0.64
2,1,43,0.14,0.0,0.256,0.0,0.564,0.256,0.0,0.0,0.0,0.004,1.22
2,1,44,0.0,0.0,0.0,0.2279999999999998,0.692,0.0,0.1200000000000001,0.0,0.0,0.088,1.128
2,1,45,0.0,0.308,0.2119999999999999,0.0,0.312,0.0,0.0,0.2,0.0239999999999999,0.048,1.1039999999999999
2,1,46,0.0,0.0,0.396,0.0,0.0,0.0,0.0,0.0,0.66,0.0,1.056
2,1,47,0.0,0.0,0.0,0.2319999999999999,0.0,0.0,0.232,0.244,0.0,0.0039999999999999,0.7119999999999997
2,1,49,0.6920000000000002,0.0,0.4039999999999999,0.0,0.152,0.5919999999999999,0.0,0.0,0.0,0.008,1.8479999999999999
2,1,53,0.4040000000000001,0.0,0.0,0.408,0.0,0.0,0.312,0.0,0.0,0.0,1.124
2,1,54,0.0,0.0,0.0,0.0,0.804,0.0,0.0,0.0,0.0,0.0,0.804
2,1,55,0.0,0.0,0.848,0.0,0.0,0.152,0.0,0.0,0.0,0.22,1.22
2,1,57,0.0,0.0,0.152,0.6960000000000001,0.2319999999999999,0.0,0.22,0.0,0.0,0.012,1.312
2,1,60,0.0,0.0,0.0,0.0,0.456,0.0,0.0,0.0,0.0,0.6160000000000001,1.072
2,1,61,0.18,0.0,0.0,0.21999999999999992,0.0,0.0,0.0,0.0,0.0,0.476,0.8759999999999999
2,1,62,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.78
2,1,63,0.0,0.0,0.28,0.304,0.0,0.0,0.1319999999999999,0.0,0.624,0.0,1.3399999999999999
2,1,67,0.0,0.212,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.132,0.724
2,1,68,0.0,0.0,0.0,0.003,0.5830000000000001,0.0,0.0,0.0,0.0,0.22199999999999998,0.808
2,1,69,0.184,0.172,0.0,0.6479999999999999,0.0,0.0,0.208,0.004,0.0,0.22,1.436
2,1,70,0.412,0.0,0.0,0.0,0.0,0.0,0.248,0.0,0.3279999999999999,0.016,1.0039999999999998
2,1,71,0.004,0.212,0.0,0.0,0.0,0.0799999999999999,0.252,1.676,0.0,0.031999999999999904,2.2560000000000002
3,1,23,0.0,0.1959999999999999,0.156,0.196,0.012,0.0,0.688,0.0,0.1679999999999999,0.024,1.4399999999999997
3,1,26,0.0,0.0,0.0,0.5720000000000001,0.0,0.0,0.0,0.228,0.196,0.004,1.0
3,1,27,0.0,0.0,0.0,0.0,0.0,0.0,0.144,0.0119999999999999,1.428,0.312,1.896
3,1,28,0.0,0.0,0.0,0.0,0.0,0.0,0.448,0.0,0.216,0.008,0.672
3,1,29,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,1.976,0.0,2.596
3,1,30,0.0,0.376,0.0,1.312,0.0,0.0,0.0,0.0,0.0,0.104,1.7920000000000003
3,1,31,0.0,0.784,0.0079999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.304,1.0959999999999999
3,1,34,0.0,0.0,0.0,0.0,0.0,0.0,0.6760000000000002,0.0,0.0,0.424,1.1
3,1,35,0.2159999999999999,0.0,0.0,0.176,0.0,0.248,0.0,0.0,0.196,0.0,0.8359999999999999
3,1,36,0.5200000000000001,0.0,0.0,0.476,0.0,0.352,0.0,0.0,0.0,0.008,1.356
3,1,37,0.284,0.0,0.0,0.6479999999999999,0.0,0.236,0.0,0.0,0.0,0.004,1.172
3,1,38,0.0,0.196,0.364,0.008,0.0,0.012,0.0,0.2159999999999999,0.712,0.22,1.728
3,1,39,0.0,0.0,0.0,0.16,0.408,0.048,0.012,0.152,0.0,0.264,1.044
3,1,40,0.0,0.0,0.4839999999999999,0.0,0.0,0.0,0.0,0.016,0.0,0.2839999999999999,0.7839999999999998
3,1,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7280000000000001,0.0,0.224,0.9520000000000001
3,1,42,0.096,0.232,0.004,0.396,0.0,0.164,0.0,0.0,0.0,0.0039999999999999,0.8959999999999999
3,1,43,0.276,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.076
3,1,44,0.0,0.0,0.0,0.3079999999999999,0.0,0.0,0.0,0.484,0.0,0.06,0.8519999999999999
